V(out)	I(R3)	power
2.630443e-030	5.888829e+000	1.549023e-029	
2.786307e-030	5.888829e+000	1.640808e-029	
2.951406e-030	5.888829e+000	1.738032e-029	
3.126288e-030	5.888829e+000	1.841017e-029	
3.311532e-030	5.888829e+000	1.950104e-029	
3.507752e-030	5.888829e+000	2.065655e-029	
3.715600e-030	5.888829e+000	2.188053e-029	
3.935763e-030	5.888829e+000	2.317703e-029	
4.168972e-030	5.888829e+000	2.455036e-029	
4.415999e-030	5.888829e+000	2.600506e-029	
4.677663e-030	5.888829e+000	2.754596e-029	
4.954832e-030	5.888829e+000	2.917816e-029	
5.248424e-030	5.888829e+000	3.090707e-029	
5.559413e-030	5.888829e+000	3.273843e-029	
5.888829e-030	5.888829e+000	3.467830e-029	
6.237764e-030	5.888829e+000	3.673312e-029	
6.607374e-030	5.888829e+000	3.890970e-029	
6.998887e-030	5.888829e+000	4.121524e-029	
7.413596e-030	5.888829e+000	4.365740e-029	
7.852879e-030	5.888829e+000	4.624426e-029	
8.318192e-030	5.888829e+000	4.898441e-029	
8.811076e-030	5.888829e+000	5.188692e-029	
9.333165e-030	5.888829e+000	5.496141e-029	
9.886190e-030	5.888829e+000	5.821808e-029	
1.047198e-029	5.888829e+000	6.166771e-029	
1.109249e-029	5.888829e+000	6.532176e-029	
1.174976e-029	5.888829e+000	6.919232e-029	
1.244598e-029	5.888829e+000	7.329222e-029	
1.318345e-029	5.888829e+000	7.763506e-029	
1.396461e-029	5.888829e+000	8.223522e-029	
1.479207e-029	5.888829e+000	8.710796e-029	
1.566856e-029	5.888829e+000	9.226944e-029	
1.659698e-029	5.888829e+000	9.773674e-029	
1.758041e-029	5.888829e+000	1.035280e-028	
1.862211e-029	5.888829e+000	1.096624e-028	
1.972554e-029	5.888829e+000	1.161603e-028	
2.089435e-029	5.888829e+000	1.230433e-028	
2.213242e-029	5.888829e+000	1.303340e-028	
2.344385e-029	5.888829e+000	1.380568e-028	
2.483299e-029	5.888829e+000	1.462372e-028	
2.630443e-029	5.888829e+000	1.549023e-028	
2.786307e-029	5.888829e+000	1.640808e-028	
2.951406e-029	5.888829e+000	1.738032e-028	
3.126288e-029	5.888829e+000	1.841017e-028	
3.311532e-029	5.888829e+000	1.950104e-028	
3.507752e-029	5.888829e+000	2.065655e-028	
3.715600e-029	5.888829e+000	2.188053e-028	
3.935763e-029	5.888829e+000	2.317703e-028	
4.168971e-029	5.888829e+000	2.455036e-028	
4.415999e-029	5.888829e+000	2.600506e-028	
4.677663e-029	5.888829e+000	2.754596e-028	
4.954832e-029	5.888829e+000	2.917816e-028	
5.248425e-029	5.888829e+000	3.090707e-028	
5.559413e-029	5.888829e+000	3.273843e-028	
5.888829e-029	5.888829e+000	3.467830e-028	
6.237764e-029	5.888829e+000	3.673312e-028	
6.607375e-029	5.888829e+000	3.890970e-028	
6.998886e-029	5.888829e+000	4.121524e-028	
7.413596e-029	5.888829e+000	4.365740e-028	
7.852879e-029	5.888829e+000	4.624426e-028	
8.318192e-029	5.888829e+000	4.898441e-028	
8.811076e-029	5.888829e+000	5.188692e-028	
9.333165e-029	5.888829e+000	5.496141e-028	
9.886190e-029	5.888829e+000	5.821808e-028	
1.047198e-028	5.888829e+000	6.166771e-028	
1.109249e-028	5.888829e+000	6.532176e-028	
1.174976e-028	5.888829e+000	6.919231e-028	
1.244598e-028	5.888829e+000	7.329222e-028	
1.318345e-028	5.888829e+000	7.763505e-028	
1.396461e-028	5.888829e+000	8.223522e-028	
1.479207e-028	5.888829e+000	8.710796e-028	
1.566855e-028	5.888829e+000	9.226944e-028	
1.659697e-028	5.888829e+000	9.773674e-028	
1.758041e-028	5.888829e+000	1.035280e-027	
1.862211e-028	5.888829e+000	1.096624e-027	
1.972554e-028	5.888829e+000	1.161603e-027	
2.089435e-028	5.888829e+000	1.230433e-027	
2.213242e-028	5.888829e+000	1.303340e-027	
2.344385e-028	5.888829e+000	1.380568e-027	
2.483299e-028	5.888829e+000	1.462372e-027	
2.630443e-028	5.888829e+000	1.549023e-027	
2.786307e-028	5.888829e+000	1.640808e-027	
2.951406e-028	5.888829e+000	1.738032e-027	
3.126288e-028	5.888829e+000	1.841017e-027	
3.311532e-028	5.888829e+000	1.950104e-027	
3.507753e-028	5.888829e+000	2.065655e-027	
3.715600e-028	5.888829e+000	2.188053e-027	
3.935763e-028	5.888829e+000	2.317703e-027	
4.168971e-028	5.888829e+000	2.455036e-027	
4.415998e-028	5.888829e+000	2.600506e-027	
4.677663e-028	5.888829e+000	2.754596e-027	
4.954832e-028	5.888829e+000	2.917816e-027	
5.248424e-028	5.888829e+000	3.090707e-027	
5.559413e-028	5.888829e+000	3.273843e-027	
5.888829e-028	5.888829e+000	3.467830e-027	
6.237764e-028	5.888829e+000	3.673312e-027	
6.607375e-028	5.888829e+000	3.890970e-027	
6.998886e-028	5.888829e+000	4.121524e-027	
7.413596e-028	5.888829e+000	4.365740e-027	
